,ENSG00000230107,ENSG00000243811,ENSG00000100336,ENSG00000131100,ENSG00000100290,ENSG00000133466,ENSG00000188511,ENSG00000100147,ENSG00000093010,ENSG00000244752,ENSG00000100368,ENSG00000100243,ENSG00000100197,ENSG00000167065,ENSG00000100376,ENSG00000100116,ENSG00000069998,ENSG00000167077,ENSG00000243156,ENSG00000198951,ENSG00000184983,ENSG00000184117,ENSG00000226328,ENSG00000100266,ENSG00000130943,ENSG00000100417,ENSG00000128408,ENSG00000189306,ENSG00000198832,ENSG00000099956,ENSG00000077935,ENSG00000183172,ENSG00000099940,ENSG00000100321,ENSG00000167074,ENSG00000159958,ENSG00000170638,ENSG00000100300,ENSG00000075234,ENSG00000100304,ENSG00000183066,ENSG00000128245
HG00096,0.25516385,14.556252,0.16479708,33.009018,2.4880285,0.81008077,3.3191783,3.0648046,27.530857,0.76271653,6.6205792,40.51931,0.25017864,1.5377431,5.174623,10.92437,21.780796,10.889347,1.030307,11.743259,69.24629,38.73482,3.3769312,29.011171,0.038993914,13.39494,1.2931486,42.29594,2.851065,65.500984,0.114710584,45.509266,16.541664,1.08906,1.4672745,23.188122,23.355854,46.060947,11.646492,23.826307,0.36539993,56.33391
HG00099,0.1463943,8.146871,0.068383045,20.53731,1.07874,0.91057295,2.6832747,2.237675,23.927172,0.57164145,2.2905753,27.461206,0.119616866,1.6455169,7.4580874,3.0246797,18.105223,7.9879856,0.93227327,6.8237967,37.894047,20.17968,2.4199262,17.323017,0.01555176,8.7789345,1.1960307,29.575222,1.7709988,31.862076,0.075923994,16.641365,7.2500963,4.804855,0.9634553,17.08513,12.8278265,14.160609,3.9840176,14.859764,0.3375317,37.473675
HG00100,0.1757706,19.573734,0.6635624,30.18513,1.9931914,0.6860226,5.1227427,3.815322,40.4223,0.5483238,6.5535007,49.292297,0.6174286,1.7433524,28.250858,8.82431,29.097506,11.3533125,1.8142645,9.769713,30.75447,38.704994,3.7017453,18.672659,0.012249874,13.009801,0.5677889,40.228092,1.638825,56.13095,-0.0015183465,17.369806,15.067358,4.7198663,1.5591449,23.960796,23.83407,33.113052,10.913956,28.241217,0.27911824,60.977318
HG00102,0.15186682,17.266657,0.05390443,41.682617,2.4388065,2.1146991,3.0633774,2.1045427,34.72653,0.6116251,2.2651634,38.108513,0.22530492,1.9861526,22.411701,5.790613,24.287,8.723357,1.1459134,9.90352,68.19915,49.872467,2.143086,19.21657,0.013774086,11.218367,0.82315624,34.15227,2.7498724,54.114956,-0.038142957,22.796778,19.219866,3.7449477,1.8826456,26.072369,21.388762,42.09884,7.8059635,25.853132,0.23102783,65.97092
HG00103,0.18241845,21.63067,0.44177037,33.249302,3.9635794,1.5610062,3.3185265,4.630781,37.218353,0.49996343,10.22381,39.683594,0.5573145,2.8936186,5.8671913,4.743392,28.359474,13.870228,2.5095968,12.832171,72.69444,36.853783,2.763081,26.671343,0.027799953,11.1259365,1.646243,28.786932,2.2090285,55.413715,0.4309593,13.7478,12.936555,0.9119289,2.4030626,22.87604,18.570913,29.18603,10.673553,29.606163,0.6302131,60.875465
HG00104,0.237135,20.769148,0.37485832,36.11311,1.1738226,1.8536762,5.780286,3.0191295,44.961987,0.61821955,10.699543,38.15535,0.18026325,2.7860088,21.883377,5.6912255,27.084545,10.620478,3.0053258,13.253839,68.63624,40.014015,2.4322762,25.853148,0.053953588,15.828128,0.39367715,54.960762,1.7644427,65.3293,0.04689277,32.374832,13.93737,2.630708,1.5661172,25.77219,23.959017,42.91325,9.443284,27.539343,0.1514802,68.66302
HG00108,0.31809905,19.488293,0.3950639,31.15272,0.6692945,0.9678723,3.4418871,3.0176485,30.912085,1.3396486,5.7605295,40.25574,0.27541474,2.0751512,5.344417,5.322447,25.088095,12.484362,1.4352076,11.97941,71.21335,38.901604,2.2000725,17.903326,0.022253677,10.70408,1.4755125,33.189976,5.031109,63.5711,0.32402766,17.47473,14.951685,3.9767091,2.0260572,20.961779,20.341282,31.197723,8.40692,28.662777,0.47304085,61.745872
HG00109,0.10873563,15.388533,0.086679004,38.740353,2.7246673,1.141308,3.888051,3.035991,30.933167,0.11569276,3.8851254,34.9705,0.29906234,2.473886,19.766386,6.7363324,27.230938,12.003108,2.3059483,10.258285,68.53074,34.675686,2.3926349,15.543986,0.020122394,15.90532,2.5018528,44.418114,2.7282033,57.030476,0.15436473,25.837368,15.747218,4.7009597,2.0622256,23.994255,20.421421,38.827553,8.456854,25.265291,0.055331837,68.47575
HG00110,0.39756337,17.685787,0.04833578,36.802814,4.230409,0.8480957,3.1372807,2.658272,31.481712,0.34665334,7.5819902,46.284813,0.29789755,1.7339798,6.832852,5.315635,27.360443,13.723125,0.92768896,11.35178,71.92572,30.511864,2.917645,20.156511,0.014660583,17.564283,1.0201241,27.933268,2.7400806,69.98768,0.22838686,22.295599,13.673477,1.5902954,1.6828266,19.642384,25.08077,35.23677,9.11915,36.07545,0.6353287,68.08775
HG00111,0.47984642,18.187536,0.328298,33.11166,1.6281995,0.8701635,4.5591855,4.6739902,42.92856,0.5880639,6.02542,42.08578,0.2928611,2.420434,23.904066,8.519123,30.98262,12.986813,3.6729548,10.751151,64.051994,34.56597,4.8007584,20.590252,0.053654727,11.929445,1.1048708,20.646162,3.2404306,71.70869,0.087719016,44.685837,15.99238,10.704575,2.1646647,25.29936,23.733696,28.059547,9.714382,27.844412,0.31814477,55.512737
